7;G33;13797;Аверьянов И.А.
8;G61;10364;Агишев И.А.
9;G22;20813;Адагамов Р.Р.
10;L2;22921;Аитова Е.П.
11;G26;18844;Албуров Г.В.
12;G115;2973;Александрова-Зорина Е.Б.
13;L16;3709;Андреянов С.Н.
14;G41;11698;Аникин С.В.
15;G34;13452;Аншаков М.Г.
16;N2;17393;Артёмов И.В.
17;G9;28754;Ашурков В.Л.
18;G38;12568;Бабченко А.А.
19;G45;11194;Бадыкова Ф.А.
20;G82;7261;Бакиров И.В.
21;G138;1721;Баласанов А.Е.
22;G44;11402;Барабаш К.В.
23;G37;13066;Баронова М.Н.
24;G97;5225;Беззуб А.Ю.
26;G95;5311;Безруких О.А.
28;G109;3749;Бескоровайный А.В.
29;G76;8618;Билунов Д.Б.
30;G133;2064;Блиндул А.В.
31;G93;5444;Богомолов Ю.А.
32;N3;16800;Бондарик Н.Н.
33;G120;2514;Брусиловский М.А.
34;G134;2017;Будникова С.В.
35;L13;6197;Будрайтскис И.Б.
36;G47;11091;Бурашников Д.А.
37;G2;38520;Быков Д.Л.
38;G98;4867;Быстров А.С.
42;G68;9533;Василенко П.В.
43;G111;3464;Васильева Е.Б.
44;G88;5774;Верзилов П.Ю.
45;G57;10423;Виноградов С.Н.
46;G23;20382;Винокуров А.И.
47;G31;15005;Вистицкий М.М.
48;G113;3294;Витухновская А.А.
49;G39;12499;Власов С.И.
50;L8;9963;Волкова А.И.
51;G35;13437;Волкова Е.И.
52;N13;1460;Воробьев С.А.
53;G157;1033;Гаврилов А.И.
54;G25;18986;Газарян С.В.
55;G90;5516;Галямина Ю.Е.
56;G131;2116;Гарначук В.Ф.
57;L1;22935;Гаскаров А.В.
58;G6;32260;Гельфанд М.С.
59;G147;1349;Глускин В.А.
60;G122;2445;Головин Д.А.
61;G75;8630;Гонгальский М.Б.
62;G92;5457;Горник А.Л.
63;G73;9045;Городенцев А.Г.
65;G99;4763;Гребнева И.Г.
66;G14;26973;Гудков Г.В.
67;G10;28708;Гудков Д.Г.
68;G83;6424;Гуляев С.В.
69;B1;27216;Давидис С.К.
70;G70;9275;Давыденко Д.В.
71;G116;2948;Давыдов А.В.
72;G48;11082;Дегтярь И.В.
73;G66;9734;Демидов М.А.
74;N6;8600;Демушкин Д.Н.
75;G91;5461;Дергачев В.А.
76;G13;27122;Дзядко Ф.В.
77;G69;9513;Доброхотов Р.А.
78;B3;21164;Долгих А.В.
79;G107;3815;Доможиров Е.В.
81;N7;7623;Дровецкий В.В.
82;G40;11751;Езеев Ф.А.
84;G121;2459;Жиляев А.А.
86;B8;15037;Завесов А.Л.
87;B10;10947;Залесский А.В.
88;G132;2085;Зорин К.И.
89;G148;1303;Иванов А.Г.
90;G52;10768;Иванов Д.С.
91;G19;22445;Илларионов А.Н.
92;L9;8455;Кавказский Н.Ю.
93;G21;20845;Кара-Мурза В.В.
94;B4;19174;Каретникова А.Г.
95;G166;611;Каржаева Н.В.
96;G3;33849;Каспаров Г.К.
97;G24;19770;Кац М.Е.
98;G18;22496;Кашин О.В.
99;G51;10857;Козырев О.В.
100;G150;1208;Колганов А.Ю.
101;N12;3188;Колесников В.В.
102;G58;10401;Колесников С.В.
103;G50;10975;Колчинцев В.В.
104;G104;4419;Колюцкий Г.А.
105;N1;21433;Константинов Д.И.
106;G64;10028;Коровин В.А.
107;G128;2194;Косякин К.Ю.
108;N5;10593;Кралин В.Л.
109;G56;10480;Крашенинников Ф.Г.
110;N4;15895;Крылов К.А.
111;G161;888;Крылов О.А.
112;G65;9928;Крюков В.А.
113;G67;9656;Кудрявцев Ф.А.
114;G129;2121;Кузин Е.А.
115;G127;2203;Кузнецов А.В.
116;G62;10037;Курамшин В.В.
117;G55;10649;Лавров А.В.
118;G11;28707;Лазарева Т.Ю.
119;G105;4404;Лазуренко (.А.
120;L10;7880;Лебедев К.В.
121;G42;11618;Левченко Е.В.
122;G106;4030;Левшиц Н.Д.
123;G136;1926;Литвинов Г.А.
124;G84;6417;Лоскутов А.А.
125;G78;8152;Лукьянова Е.А.
126;G49;11040;Лурье О.А.
127;G74;8652;Ляскин Н.Н.
128;G81;7420;Магкоева Б.(.
129;G160;920;Малышев В.Э.
130;G139;1667;Мальцева А.А.
131;G159;991;Марянин И.С.
132;G103;4474;Матвеев М.Н.
133;L14;5854;Медведев К.Ф.
134;G28;16026;Мирзоев В.В.
135;G101;4481;Митюшкина Н.Л.
136;G162;784;Мицкевич В.Р.
137;G126;2249;Мокшанов А.А.
138;G141;1533;Моша Ю.И.
140;G144;1449;Мухин Ю.И.
141;G163;750;Мыльникова М.С.
142;G1;43723;Навальный А.А.
143;G30;15541;Наганов В.И.
144;G169;289;Надеев А.Р.
146;G94;5341;Некрасов Д.А.
147;G16;24623;Немцов Б.Е.
148;L3;14632;Николаев А.А.
149;G146;1400;Ободина С.Ю.
150;G102;4475;Образцова А.С.
151;G130;2118;Овдиенко И.Г.
152;G46;11175;Ольшанский Л.Д.
153;G114;3291;Осенин В.О.
154;G80;7542;Отставных В.В.
155;G158;1032;Павлов В.Г.
156;L4;13720;Палчаев А.Н.
157;G168;424;Панибратченко А.В.
158;G12;27434;Пархоменко С.Б.
160;G152;1162;Первушин А.С.
161;G123;2423;Петречук Л.Л.
162;L15;4891;Печенев А.С.
163;B2;23314;Пивоваров А.С.
164;G27;17662;Пионтковский А.А.
165;G59;10385;Поляков А.В.
166;G43;11591;Пономарев И.В.
167;G117;2737;Поткин (.В.
168;N9;6299;Поткин (.А.
170;G154;1123;Прибыловский В.В.
171;G156;1103;Прохоров (.М.
172;G60;10381;Пряников П.Н.
173;G125;2272;Путенихин Д.В.
174;G89;5632;Пушкарева Н.А.
175;G108;3786;Радостева Н.Е.
176;N11;5903;Радченко В.В.
177;L5;12760;Развозжаев Л.М.
178;L6;12584;Рафаилов Г.Г.
179;N10;6243;Резчиков (.А.
180;G124;2298;Ренёв Д.В.
181;G17;23318;Романова О.Е.
182;G165;655;Романовский В.Г.
184;G85;6390;Русакова Е.Л.
185;B7;15794;Рыклин А.Ю.
186;G167;564;Савостин М.О.
187;G63;10031;Сайдашев Р.Р.
188;G155;1120;Самсонов А.А.
189;G100;4699;Сангаев И.В.
190;L7;10920;Санников М.А.
191;L11;7672;Сахнин А.В.
192;G137;1780;Семенов В.М.
193;G149;1245;Семенов И.В.
194;G36;13330;Скалаух И.С.
195;G135;1961;Смирнов С.С.
196;G15;25270;Соболь Л.Э.
197;G4;32529;Собчак К.А.
198;G53;10722;Спорыхина У.В.
199;G96;5237;Стариков И.В.
200;G153;1158;Стефанов Б.А.
201;G54;10662;Студенова (.Н.
203;G71;9250;Сухарева Т.В.
204;G142;1511;Сухоруков Д.В.
205;G145;1444;Терегулов А.Р.
206;N8;7515;Тюрин А.В.
207;B6;16115;Тютрин И.И.
208;G20;21424;Удальцов С.С.
209;G79;7744;Удальцова А.О.
212;G110;3674;Холмогорова Н.Л.
213;B5;17729;Царьков П.А.
214;G119;2554;Чернов Д.В.
215;G32;14057;Чернышева Н.Ю.
216;G7;32221;Чирикова Е.С.
217;G164;731;Чупров А.Г.
218;L12;7146;Шалимов Р.Н.
219;G143;1486;Шалимова Н.В.
220;B11;10891;Шальнев А.С.
221;G77;8505;Шаргунов С.А.
222;G72;9049;Шатов С.Н.
223;G8;30580;Шац М.Г.
224;G29;15744;Шеин О.В.
225;B9;14716;Шелков П.Н.
226;G86;6163;Шнейдер М.Я.
227;G151;1170;Шулипа Ю.Ю.
228;G118;2634;Щербаков А.В.
229;G140;1648;Эсауленко Д.Н.
379;G87;5798;Янкаускас К.С.
381;G112;3334;Яшин (.И.
382;G5;32478;Яшин И.В.